location,latitude,longitude
"Selby, Yorkshire",53.785097,-1.099040720243205
"Llanberis, Gwynedd",53.1212762,-4.1277481
Manchester,53.4794892,-2.2451148
"Camberley, Surrey",51.3392845,-0.7460981
Weymouth,50.6096257,-2.4543424
"Fife, Scotland",56.3333331,-3.0000001
"Caersws, Mid Wales",52.5040664,-3.4120179
Sheffield,53.3806626,-1.4702278
North Yorkshire,54.13453275,-1.498628491239545
Derby,52.9142235,-1.4719885461266053
Oxford,51.7520131,-1.2578499
"Denstone, Staffordshire",52.9658294,-1.8554607
West Yorkshire,53.741427099999996,-1.7202003766777243
"Machynlleth, Wales",52.5905191,-3.8518104
"Malton, North Yorkshire",54.1359924,-0.7986769
"Newtown, Wales",52.5135785,-3.314371
Gloucestershire,51.7643786,-2.1880661838719386
Weston-super-Mare,51.3471927,-2.9778916
Newport,41.4899827,-71.3137707
Nottingham,52.9534193,-1.1496461
Bristol,51.4538022,-2.5972985
Cambridge,52.2055314,0.1186637
Swindon,51.5615327,-1.7854322
North Hertfordshire,51.956864949999996,-0.22305090784172493
"Sofia, Bulgaria",42.6977028,23.3217359
Stratford-upon-Avon,52.1927803,-1.70634
Basingstoke,51.262826,-1.0861976
"Farnham, Surrey",51.2151749,-0.7984854
Hambleton,54.25045835,-1.4368783044428555
Swansea,51.6195955,-3.9459248
Newbury,51.4020243,-1.3242212
Telford,52.6780419,-2.4514273
Banbury,52.0601807,-1.3402795
Berkhamstead,51.7571683,-0.552616
Kidderminster,52.3880787,-2.2478582
"Penybontfawr, Powys",52.812887,-3.3514594
"Fleet, Hampshire",51.2828601,-0.8316334471979006
St Albans,51.753051,-0.3379675
Edinburgh,55.9533456,-3.1883749
"Farnborough, Hampshire",51.2918693,-0.7539836
Milton Keynes,52.0406502,-0.7594092
"Mytchett, Surrey",51.2898673,-0.7255944
Shirehampton Bristol,51.4880902,-2.6761284
"Deiniolen, Gwynedd",53.1465515,-4.1254091
"Rushden, Northamptonshire",52.2911567,-0.5988177
Preston,53.7593363,-2.6992717
Stroud,51.745424,-2.2198605
Warwick ,52.2814519,-1.5815742
"Brynrefail, Gwynedd",53.1437503,-4.1564196
"Huddersfield, West Yorkshire",53.6466645,-1.7822482
"Dinorwic, Gwynedd",53.1345407,-4.1126575
"Neyland, Pembrokeshire",51.7099976,-4.9511343
"Sleaford, Lincolnshire",52.99965,-0.4095586
"Broxburn, West Lothian",55.9343917,-3.4693866
Brighton and Hove,50.8453169,-0.14974689789029522
"Wrexham, North Wales",53.0534759,-3.0047901266461725
"Carlby, STAMFORD",52.71544598910867,-0.48008327702423026
"Market Drayton, Shropshire",52.9045385,-2.491841
Ipswich,52.0579324,1.1528095
Ackworth,41.366012,-93.4734697
"Reigate, Surrey",51.2376557,-0.2057067
"Beddgelert, Gwynedd",53.0116458,-4.1027056
Bristol UK,51.4538022,-2.5972985
"Woodham, Surrey",51.3467866,-0.5141027
Bishop's Stortford,51.8676279,0.1631961
Reading,51.4564242,-0.9700664
Buckinghamshire,51.840894,-0.8998073587480795
Haywards Heath,50.9999616,-0.1049747
"Whitchurch, Hampshire",51.2298963,-1.3384328
Varese - Italy,45.839720299999996,8.754133838056571
