id,userid,published,last_updated,location,installer_name,installer_url,url,share,hp_model,hp_type,hp_output,refrigerant,dhw_method,cylinder_volume,dhw_coil_hex_area,new_radiators,old_radiators,fan_coil_radiators,UFH,hydraulic_separation,flow_temp,flow_temp_typical,wc_curve,freeze,zone_number,space_heat_control_type,dhw_control_type,dhw_target_temperature,legionella_frequency,legionella_target_temperature,property,floor_area,heat_demand,heat_loss,age,insulation,electricity_tariff,electricity_tariff_type,electricity_tariff_unit_rate_all,electricity_tariff_unit_rate_hp,solar_pv_generation,solar_pv_self_consumption,solar_pv_divert,battery_storage_capacity,electric_meter,heat_meter,metering_inc_boost,metering_inc_central_heating_pumps,metering_inc_brine_pumps,metering_inc_controls,notes,mid_metering,kwh_m2,design_temp,water_heat_demand,EPC_spaceheat_demand,EPC_waterheat_demand,heatgeek,indoor_temperature,betateach,emoncmsorg_userid,installer_logo,ultimaterenewables,heatingacademy,youtube,data_flag,data_flag_note,hp_max_output,measured_base_DT,measured_design_DT,measured_heat_loss,measured_heat_loss_range,hp_max_output_test,volumiser,legionella_immersion,metering_inc_immersion,uses_backup_heater,metering_inc_secondary_heating_pumps,weighted_average_flow_minus_outside,measured_mean_flow_temp_coldest_day,measured_max_flow_temp_coldest_day,measured_outside_temp_coldest_day,measured_emitter_spec,measured_system_volume,weighted_average_ideal_carnot,weighted_flow_temp,latitude,longitude,stats.id,stats.timestamp,stats.combined_elec_kwh,stats.combined_heat_kwh,stats.combined_cop,stats.combined_data_length,stats.combined_elec_mean,stats.combined_heat_mean,stats.combined_flowT_mean,stats.combined_returnT_mean,stats.combined_outsideT_mean,stats.combined_roomT_mean,stats.combined_prc_carnot,stats.running_elec_kwh,stats.running_heat_kwh,stats.running_cop,stats.running_data_length,stats.running_elec_mean,stats.running_heat_mean,stats.running_flowT_mean,stats.running_returnT_mean,stats.running_outsideT_mean,stats.running_roomT_mean,stats.running_prc_carnot,stats.space_elec_kwh,stats.space_heat_kwh,stats.space_cop,stats.space_data_length,stats.space_elec_mean,stats.space_heat_mean,stats.space_flowT_mean,stats.space_returnT_mean,stats.space_outsideT_mean,stats.space_roomT_mean,stats.space_prc_carnot,stats.water_elec_kwh,stats.water_heat_kwh,stats.water_cop,stats.water_data_length,stats.water_elec_mean,stats.water_heat_mean,stats.water_flowT_mean,stats.water_returnT_mean,stats.water_outsideT_mean,stats.water_roomT_mean,stats.water_prc_carnot,stats.cooling_elec_kwh,stats.cooling_heat_kwh,stats.cooling_cop,stats.cooling_data_length,stats.cooling_elec_mean,stats.cooling_heat_mean,stats.cooling_flowT_mean,stats.cooling_returnT_mean,stats.cooling_outsideT_mean,stats.cooling_roomT_mean,stats.cooling_prc_carnot,stats.combined_cooling_kwh,stats.combined_starts,stats.combined_starts_per_hour,stats.from_energy_feeds_elec_kwh,stats.from_energy_feeds_heat_kwh,stats.from_energy_feeds_cop,stats.quality_elec,stats.quality_heat,stats.quality_flowT,stats.quality_returnT,stats.quality_outsideT,stats.quality_roomT,stats.error_air,stats.error_air_kwh,stats.unit_rate_agile,stats.unit_rate_cosy,stats.unit_rate_go
1,1,1,1733491980,"Selby, Yorkshire",Green Building Renewables,https://www.greenbuildingrenewables.co.uk/,https://emoncms.org/cryosphere,1,Mitsubishi Ecodan,Air Source,11.2,R32,Cylinder with plate heat exchanger,250,0.0,1,0,0,0,Low loss header,50.0,38,0.0,Glycol/water mixture,1,Room influence only (e.g Auto adapt),Daily scheduled heat up of tank,45.0,Disabled,0,Detached,134.0,14000,9.5,1940 to 1982,"Cavity wall, plus some loft insulation",Agile Octopus,Variable half hourly,12,23.415,4000,90,0,8,Other pulse output meter (class 1),Sontex heat meter (class 2),0,1,0,1,"Actual measured heat loss closer to 5.6 kW. Mostly out-of-the-box room auto-adapt mode, with some external nudges",1,104,-3.0,0,19958,2835,0,0,,0,greenbuildingrenewables.png,0,0,,0,Defrost energy not included due to mitsubishi heat meter integration limitation.,11.2,1.4,23.0,5.63,0.7,0.0,0,0,0,0,1,29.3107,37.9,41.2,-1.23,0.0,0,8.53641,36.6059,53.785097,-1.099040720243205,1,False,8634.91,31190.3,3.61211639727571,89600300,690.967,2485.43,31.9684,28.6782,7.29402,18.6707,45.9746,8253.09,31052.4,3.762518038698233,23523700,1295.04,4836.44,35.626,30.9058,7.22411,18.5848,45.702,7059.7,27448.1,3.8879980735725312,21313900,1227.05,4728.74,34.6556,29.8797,6.49431,18.5287,46.6622,1193.4,3604.37,3.0202530584883522,2209820,1960.52,5997.05,44.4842,40.1359,13.0,19.226100000000002,39.2533,0.0,0.0,,0,,,,,,,,0.0,9646,0.38756120236204566,8576.61,30873.4,3.5997206355424813,99.2388,99.2386,99.2386,99.2386,99.2386,44.2525,2700,0.313,0.0,0.0,0.0
2,2,1,1729117160,"Llanberis, Gwynedd",Trystan Lea (self-install),https://trystanlea.org.uk,https://emoncms.org/midterrace,1,Mitsubishi Ecodan,Air Source,5.0,R410A,Cylinder with coil,150,3.0,1,0,0,0,None,45.0,33,0.0,Central heat pump water circulation,1,Manual flow temperature control,Twice daily scheduled heat up of tank,42.0,Disabled,55,Mid-terrace,77.0,8000,4.0,Pre-1900,Solid walls,Octopus Agile,Variable half hourly,18.1,8.25,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,,1,104,-3.0,2000,18341,3448,1,0,,44615,,0,0,https://www.youtube.com/watch?v=m2-_x0XZUSM,0,,4.8,1.4,23.0,3.52,0.7,4.5,0,0,0,0,0,25.4842,34.4,34.1,-0.94,0.0,0,9.43189,33.8969,53.1212762,-4.1277481,2,False,10341.3,42130.1,4.0739655555877885,133046000,424.729,1712.99,29.792000000000005,26.8112,8.0367,18.9076,45.6363,10044.6,41508.8,4.132449276228023,53697800,684.594,2837.61,33.0193,29.1641,7.98255,18.9354,44.9936,7274.42,30812.5,4.235732883171441,42869000,621.917,2636.28,31.7169,28.116300000000003,7.26756,18.9773,45.2055,2770.22,10696.2,3.861137382590553,10828700,938.711,3642.23,37.7914,32.9149,10.0597,18.7575,44.4696,0.0,0.0,,0,,,,,,,,396.047,13174,0.3564661846278731,10357.0,42191.2,4.0736892922661,98.6601,98.6158,98.6595,98.6595,98.7937,95.2443,7070,1.51416,0.0,0.0,0.0
3,3,1,1735485787,Manchester,Ecopartners,https://ecopartnersuk.com/,https://emoncms.org/zapaman,1,NIBE F2040,Air Source,6.0,R410A,Phase change store,0,0.0,1,1,0,0,None,45.0,35,0.0,Glycol/water mixture,1,Weather compensation with a little room influence,Automatic top up of tank if temperature drops by 6-10C,52.0,,0,Semi-detached,120.0,7350,3.5,1900 to 1939,"Fully insulated walls, floors and loft",Octopus Intelligent,On peak & Off peak,13,25,2550,71,1,5,Other electricity meter,Sontex heat meter (class 2),0,1,0,0,NIBE SMO20 control unit with WC. DHW Scheduled blocking to avoid peak times,0,60,-3.0,1850,12000,3000,0,1,0,1870,ecopartnersuk.png,0,0,,0,,5.0,2.2,23.0,3.23,0.5,0.0,0,0,0,0,0,27.9682,38.51,46.2,-2.48,0.0,0,0.0,35.693,53.4794892,-2.2451148,3,False,6247.62,20000.4,3.2012830485849015,84190500,474.1619999999999,1452.46,31.5709,28.966100000000004,8.16301,19.7568,39.4652,6107.04,19697.2,3.2253268359139615,34708000,671.776,2128.65,34.5481,30.8548,7.99128,19.723,38.8192,5551.94,18402.6,3.314625158052861,33533400,633.585,2063.78,34.0913,30.398299999999995,7.945540000000001,19.6813,39.1776,555.097,1294.69,2.3323671358339175,1174670,1734.42,4042.52,47.554,43.249,8.91026,20.3769,33.9313,0.0,0.0,,0,,,,,,,,92.307,6453,0.2759313699289112,6264.69,14579.5,2.3272500315259017,99.7299,99.5489,99.7046,99.6984,94.3036,90.4601,53810,8.79892,0.0,0.0,0.0
4,4,1,1730133444,"Llanberis, Gwynedd",Glyn Hudson (self-install),https://openenergymonitor.org,https://emoncms.org/samsung5kw,1,Samsung Gen 6,Air Source,5.0,R32,Cylinder with coil,150,1.0,1,0,0,0,None,40.0,35,0.0,Anti-freeze valves,1,Weather compensation with simple set point control,Twice daily scheduled heat up of tank,42.0,Other,55,End-terrace,75.0,7000,4.0,Pre-1900,Solid walls,Octopus Agile,Variable half hourly,12,13.6,1100,100,0,9,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,Performance update video: https://youtu.be/kkNx2oSO-S4,1,100,-3.0,1500,14300,2150,0,1,,45567,openenergymonitor.png,0,0,https://www.youtube.com/watch?v=Hyv_vQEvHgo,0,,4.7,4.0,23.0,4.0,0.5,0.0,0,1,1,0,0,24.9488,35.44,35.4,-0.85,18.0,80,9.59861,32.8212,53.1212762,-4.1277481,4,False,5251.35,22761.1,4.3343330762565815,75435000,397.725,1686.12,29.319300000000002,27.257999999999996,7.90324,19.8988,48.3506,5083.36,22447.7,4.415917818136037,27996600,709.673,3109.72,32.7153,29.5965,7.83831,19.937,47.7238,4036.02,18363.6,4.549927899267099,25171500,624.854,2804.49,31.6585,28.7068,7.25174,19.7759,48.0668,1047.34,4084.19,3.89958370729658,2825120,1338.82,5273.16,40.172,35.8589,10.4881,20.6915,47.0386,0.0,0.0,,0,,,,,,,,191.553,9451,0.4510320143169616,5274.14,23074.9,4.375101912349691,98.8826,99.6171,99.6172,99.6172,98.8864,97.4274,0,0.0,0.0,0.0,0.0
5,2,1,1729116890,"Camberley, Surrey",VitoEnergy,https://www.vitoenergy.co.uk/,https://emoncms.org/app/view?name=My+Heatpump&readkey=016b2cb10eb6d4c0c7bc1f6f57329a9c,1,Vaillant Arotherm+,Air Source,5.0,R290,None,0,0.0,1,0,0,0,None,45.0,0,0.0,Anti-freeze valves,1,"Pure weather compensation, no room influence",Not applicable,0.0,,0,Office building,80.0,6000,5.0,1940 to 1982,Non-insulated cavity wall,,,0,0,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Sharky heat meter (class 2),0,1,0,1,"VitoEnergy HQ, 6am till 10pm 21C, then 19C setback, no DHW",1,75,-3.0,0,0,0,1,0,0,43399,vitoenergy.png,0,0,https://www.youtube.com/watch?v=X6qIP8snPW8,0,,6.1,6.2,23.0,4.15,1.0,0.0,0,0,0,0,0,22.0428,31.39,39.5,-1.72,0.0,0,10.3734,28.55,51.3392845,-0.7460981,5,False,3674.04,15366.1,4.182344231418275,48986300,580.523,2227.29,29.3331,27.4721,6.30588,20.6926,49.143,3539.97,15030.4,4.245911688517134,16452500,824.694,3426.47,31.3227,28.4647,5.92963,20.553899999999995,48.1626,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,353.927,5334,0.39199531297526047,3669.62,15431.0,4.205067554678686,75.5111,90.6751,90.1876,90.1876,66.5967,71.3287,0,0.0,0.0,0.0,0.0
6,6,1,1729117416,Manchester,,,https://emoncms.org/app/view?name=MyHeatpump&readkey=906dee911261b1c9700300d3bad0c83c,1,Mitsubishi Ecodan,Air Source,5.0,R32,Cylinder with coil,0,0.0,1,0,0,0,,45.0,0,0.0,Central heat pump water circulation,1,Room influence only (e.g Auto adapt),Automatic top up of tank if temperature drops by 3-6C,45.0,Fornightly,0,Semi-detached,92.0,9500,3.4,1940 to 1982,Some insulation in walls and loft,,,0,0,0,0,0,0,"OpenEnergyMonitor EmonPi v2, EmonTx4 or newer",Sika or Grundfos VFS flow meter,0,1,0,1,,0,103,-3.0,0,,,0,0,,45004,,0,0,,0,,5.0,2.3,23.0,4.2,0.5,0.0,0,0,0,0,1,30.2245,37.87,33.7,-2.35,0.0,0,8.27972,37.4376,53.4794892,-2.2451148,6,False,4717.86,16888.5,3.579695031221783,71752800,459.199,1662.34,30.3197,28.175,7.11942,17.7741,47.4355,4418.06,16820.6,3.8072366604346697,21378000,759.692,2933.97,36.4621,32.9632,7.05939,17.9788,47.2429,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,231.094,4215,0.21147606783289294,4719.25,16888.1,3.5785559146050745,98.7952,98.7483,96.4687,96.4687,98.8605,47.2812,3530,0.0,0.0,0.0,0.0
7,7,1,1729117274,Weymouth,Total Renewable Solutions,https://www.totalrenewablesolutions.com/,https://emoncms.org/app/view?name=HighbanksASHP&readkey=a6242a5576f8fa23493b70dad6c7d9fe,1,Mitsubishi Ecodan,Air Source,14.0,R32,Cylinder with coil,200,2.5,1,1,0,0,Buffer,0.0,35,0.0,Glycol/water mixture,2,Room influence only (e.g Auto adapt),Automatic top up of tank if temperature drops by 6-10C,55.0,Never,0,Detached,244.0,27328,0.0,1983 to 2011,"Cavity wall, plus some loft insulation",Octopus Go,On peak & Off peak,0,0,6860,100,1,19,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,,1,112,-3.0,0,20972,2916,0,0,,36824,totalrenewablesolutions.png,0,0,,0,,14.0,2.0,23.0,8.0,1.5,0.0,0,0,0,0,1,29.1346,42.84,50.4,2.54,0.0,0,8.62116,38.3186,50.6096257,-2.4543424,7,False,10477.9,34900.8,3.330896458259766,67270500,1127.35,3639.82,36.4944,33.8376,9.78413,20.8369,45.5379,10214.7,34895.8,3.4162334674537678,20594900,1835.65,6279.49,41.3492,37.7611,9.25888,20.8603,45.4653,9722.51,33740.7,3.4703692770693984,19875300,1810.92,6302.58,40.8538,37.2582,9.19849,20.8524,45.9154,492.165,1155.14,2.3470584052096353,719640,2502.3,5953.99,53.9172,50.4176,11.0262,20.9779,37.2943,0.0,0.0,,0,,,,,,,,421.343,2829,0.15139474212321893,10503.8,35331.0,3.363639825586931,99.6965,99.7085,99.7087,99.7087,99.7017,60.2327,240,0.0,0.0,0.0,0.0
8,8,1,1732055121,"Fife, Scotland",,,https://emoncms.org/app/view?name=My+Heatpump&readkey=8e2d4547934319f9151a4730fb3e9f21,1,Vaillant Arotherm+,Air Source,7.0,R290,Cylinder with coil,200,1.4,1,0,0,0,None,38.0,31,0.55,Glycol/water mixture,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,42.0,Disabled,60,Semi-detached,100.0,16057,6.4,Pre-1900,Some insulation in walls and loft,Octopus Agile,Variable half hourly,10.6,,950,95,0,14,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,"System installed under BEIS EoH trial, system is clearly oversized but I have made improvements to the system to try and maximise efficiency.",1,161,-5.0,4075,21042,2253,0,1,0,42510,,0,0,,0,,8.7,2.7,23.0,5.06,0.8,0.0,0,0,0,0,0,27.5116,36.48,41.7,-3.92,0.0,0,8.89073,32.9543,56.3333331,-3.0000001,8,False,8930.79,35708.0,3.998302501794354,104352000,578.153,2281.49,28.8951,27.1357,5.59597,17.2996,50.7459,8633.6,35402.3,4.1005258524833215,34641600,926.416,3808.0600000000004,32.5682,29.4022,5.45187,17.3095,50.3153,5788.02,24442.6,4.222963984229494,25314300,844.057,3609.69,31.3562,28.1459,4.7816,17.3218,50.8606,2845.57,10959.7,3.8514954824516705,9327280,1159.77,4415.4,36.141,32.9889,6.966830000000001,17.2748,47.3811,0.0,0.0,,0,,,,,,,,475.988,20670,0.7130864765409384,8856.76,36134.4,4.079866678108021,99.7245,99.3893,99.3894,99.3894,96.7439,93.54,14420,2.83014,0.0,0.0,0.0
204,216,1,1730121291,"Caersws, Mid Wales",Richard Burrows,https://mwphs.co.uk/,https://emoncms.org/app/view?name=MyHeatpump&readkey=83a2a4b0dbc4c23c7281daa1f988a3b3,1,Stiebel Eltron WPE-I 12 H 230,Ground Source,12.0,R454C,Cylinder with coil,300,4.0,0,0,0,1,Low loss header,35.0,30,0.2,Not applicable,4,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,47.0,Flexible,60,Detached,251.0,0,7.0,2012 or newer,"Fully insulated walls, floors and loft",Octopus Energy Intelligent Octopus Go,On peak & Off peak,10,,3500,90,1,20,SDM120 Modbus/MBUS Single Phase (class 1),Kamstrup heat meter (class 2),0,1,1,0,"GSHP brine loops are glycol filled. Heating system water is chemical free, filled to VDI 2035 standards.",1,0,-4.5,0,14067,2333,0,0,https://betatalk.buzzsprout.com/509671/2505385,0,mwphs.png,0,1,,0,,0.0,6.0,23.0,5.0,1.0,0.0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.5040664,-3.4120179,204,False,1288.17,7436.98,5.773290792364361,26120500,273.66,1679.54,27.8115,24.684799999999996,9.15177,20.921,66.1211,1142.68,7372.29,6.451753771834634,6248650,672.2370000000001,4346.76,31.651,25.9219,8.85151,20.8319,65.6396,809.112,5856.28,7.23791020279022,4784960,633.679,4547.68,28.7726,22.669900000000002,7.88944,20.6472,69.2272,333.572,1516.0,4.5447459618912855,1463690,816.686,3749.0,41.5966,37.141,12.4329,21.5175,54.0234,0.0,0.0,,0,,,,,,,,9.694,1007,0.13878754235179266,1298.84,7603.0,5.853684826460534,99.2646,98.0716,98.0716,98.0716,99.9595,98.5679,0,0.0,0.0,0.0,0.0
9,9,1,1729117121,Sheffield,Damon Blakemore,https://blakemoreplumbingandheating.co.uk/,https://emoncms.org/energystatsuk,1,Vaillant Arotherm+,Air Source,5.0,R290,Cylinder with plate heat exchanger,250,3.0,1,0,0,0,None,40.0,0,0.5,Anti-freeze valves,1,Weather compensation with a little room influence,Twice daily scheduled heat up of tank,48.0,Fornightly,51,Semi-detached,98.0,9000,5.4,1900 to 1939,Some insulation in walls and loft,Octopus Intelligent,On peak & Off peak,14,0,4200,90,0,16,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,https://energy-stats.uk/my-5kw-vaillant-arotherm-heat-pump/,1,92,-3.0,0,0,0,1,1,https://betatalk.buzzsprout.com/509671/13046892,45893,blakemoreplumbingandheating.jpg,0,0,,0,,6.4,4.3,23.0,4.14,0.6,0.0,0,0,0,0,0,25.8491,37.01,39.8,-1.9,0.0,0,9.4785,32.8716,53.3806626,-1.4702278,9,False,6676.19,26067.4,3.9045323755015966,68663600,538.342,2042.5800000000002,31.0407,28.5656,6.87065,20.1007,47.4688,6517.87,25684.8,3.940673870451543,32683500,752.402,2915.1699999999996,33.5725,30.3807,6.55895,20.0619,46.745799999999996,5577.9,22196.9,3.979436705570197,29076100,734.663,2847.37,32.9682,29.7808,6.04553,20.0436,47.3996,939.968,3487.84,3.710594403213727,3607420,939.972,3525.92,38.98239999999999,35.6315,10.0233,20.1622,43.016299999999994,0.0,0.0,,0,,,,,,,,242.917,10719,0.5619920889670801,6691.76,26124.9,3.904040192714622,99.6212,99.7105,99.741,99.741,99.6472,99.5443,17470,12.7469,0.0,0.0,0.0
